   XB-NEW,    YB-NEW  ,   XB-SYM   ,   YB-SYM   ,  CAMBER-Y  , CAMBER-dY/dX 
 0   0   1   1   6  
    0.005607    0.015004    0.839525    0.021749    0.009268   -0.048836
    0.004883    0.014114    0.848577    0.020693    0.008821   -0.049842
    0.004209    0.013225    0.857677    0.019620    0.008363   -0.050853
    0.003584    0.012336    0.866825    0.018529    0.007893   -0.051869
    0.003008    0.011448    0.876022    0.017422    0.007411   -0.052891
    0.002482    0.010562    0.885268    0.016296    0.006918   -0.053919
    0.002005    0.009676    0.894562    0.015152    0.006412   -0.054951
    0.001577    0.008790    0.903904    0.013990    0.005893   -0.055989
    0.001198    0.007906    0.913296    0.012809    0.005363   -0.057033
    0.000869    0.007023    0.922735    0.011608    0.004819   -0.058082
    0.000589    0.006141    0.932223    0.010388    0.004263   -0.059136
    0.000357    0.005261    0.941760    0.009148    0.003694   -0.060196
    0.000175    0.004381    0.951346    0.007888    0.003112   -0.061261
    0.000042    0.003502    0.960979    0.006606    0.002517   -0.062331
   -0.000042    0.002625    0.970662    0.005303    0.001908   -0.063407
   -0.000077    0.001749    0.980393    0.003978    0.001286   -0.064488
   -0.000063    0.000874    0.990172    0.002631    0.000650   -0.065575
    0.000000    0.000000    1.000000    0.001260    0.000000   -0.066667
    0.000111   -0.000869    0.000000    0.000000    0.000000    0.000000
    0.000271   -0.001729    0.000000    0.000000    0.000000    0.000000
    0.000479   -0.002581    0.000000    0.000000    0.000000    0.000000
    0.000734   -0.003425    0.000000    0.000000    0.000000    0.000000
    0.001038   -0.004260    0.000000    0.000000    0.000000    0.000000
    0.001390   -0.005086    0.000000    0.000000    0.000000    0.000000
    0.001790   -0.005904    0.000000    0.000000    0.000000    0.000000
    0.002237   -0.006713    0.000000    0.000000    0.000000    0.000000
    0.002733   -0.007514    0.000000    0.000000    0.000000    0.000000
    0.003276   -0.008307    0.000000    0.000000    0.000000    0.000000
    0.003868   -0.009090    0.000000    0.000000    0.000000    0.000000
    0.004507   -0.009866    0.000000    0.000000    0.000000    0.000000
    0.005194   -0.010632    0.000000    0.000000    0.000000    0.000000
    0.005928   -0.011391    0.000000    0.000000    0.000000    0.000000
    0.006711   -0.012140    0.000000    0.000000    0.000000    0.000000
    0.007541   -0.012881    0.000000    0.000000    0.000000    0.000000
    0.008419   -0.013614    0.000000    0.000000    0.000000    0.000000
    0.009344   -0.014337    0.000000    0.000000    0.000000    0.000000
    0.010317   -0.015052    0.000000    0.000000    0.000000    0.000000
    0.011338   -0.015759    0.000000    0.000000    0.000000    0.000000
    0.012406   -0.016457    0.000000    0.000000    0.000000    0.000000
    0.013522   -0.017146    0.000000    0.000000    0.000000    0.000000
    0.014685   -0.017826    0.000000    0.000000    0.000000    0.000000
    0.015895   -0.018498    0.000000    0.000000    0.000000    0.000000
    0.017153   -0.019161    0.000000    0.000000    0.000000    0.000000
    0.018458   -0.019815    0.000000    0.000000    0.000000    0.000000
    0.019811   -0.020460    0.000000    0.000000    0.000000    0.000000
    0.021211   -0.021096    0.000000    0.000000    0.000000    0.000000
    0.022658   -0.021724    0.000000    0.000000    0.000000    0.000000
    0.024153   -0.022343    0.000000    0.000000    0.000000    0.000000
    0.025695   -0.022952    0.000000    0.000000    0.000000    0.000000
    0.027284   -0.023553    0.000000    0.000000    0.000000    0.000000
    0.028920   -0.024145    0.000000    0.000000    0.000000    0.000000
    0.030603   -0.024728    0.000000    0.000000    0.000000    0.000000
    0.032334   -0.025302    0.000000    0.000000    0.000000    0.000000
